"Sample Date","Sample Time","Sensor Name","Sample Value"
"9/24/2012","12:00:22 PM","ISO AIR RH 2",23.531
"9/24/2012","12:00:22 PM","ISO AIR Temp 2",24.131
"9/24/2012","12:00:22 PM","ISOAIR + 2",6.000
"9/24/2012","12:00:59 PM","ISO AIR Temp 1",22.315
"9/24/2012","12:00:59 PM","ISO AIR RH 1",26.575
"9/24/2012","12:01:22 PM","ISO AIR RH 2",23.531
"9/24/2012","12:01:22 PM","ISO AIR Temp 2",24.148
"9/24/2012","12:01:22 PM","ISOAIR + 2",7.000
"9/24/2012","12:01:59 PM","ISO AIR Temp 1",22.341
"9/24/2012","12:01:59 PM","ISO AIR RH 1",26.494
"9/24/2012","12:02:22 PM","ISO AIR RH 2",23.550
"9/24/2012","12:02:22 PM","ISO AIR Temp 2",24.037
"9/24/2012","12:02:22 PM","ISOAIR + 2",5.000
"9/24/2012","12:02:59 PM","ISO AIR Temp 1",22.326
"9/24/2012","12:02:59 PM","ISO AIR RH 1",26.594
"9/24/2012","12:03:22 PM","ISO AIR RH 2",23.325
"9/24/2012","12:03:22 PM","ISO AIR Temp 2",24.148
"9/24/2012","12:03:22 PM","ISOAIR + 2",4.000
"9/24/2012","12:03:59 PM","ISO AIR Temp 1",22.386
"9/24/2012","12:03:59 PM","ISO AIR RH 1",26.669
"9/24/2012","12:04:22 PM","ISO AIR RH 2",23.513
"9/24/2012","12:04:22 PM","ISO AIR Temp 2",24.155
"9/24/2012","12:04:22 PM","ISOAIR + 2",6.000
"9/24/2012","12:04:59 PM","ISO AIR Temp 1",22.413
"9/24/2012","12:04:59 PM","ISO AIR RH 1",26.644
"9/24/2012","12:05:22 PM","ISO AIR RH 2",23.619
"9/24/2012","12:05:22 PM","ISO AIR Temp 2",24.051
"9/24/2012","12:05:22 PM","ISOAIR + 2",6.000
"9/24/2012","12:05:59 PM","ISO AIR Temp 1",22.371
"9/24/2012","12:05:59 PM","ISO AIR RH 1",26.525
"9/24/2012","12:06:22 PM","ISO AIR RH 2",23.719
"9/24/2012","12:06:22 PM","ISO AIR Temp 2",24.013
"9/24/2012","12:06:22 PM","ISOAIR + 2",9.000
"9/24/2012","12:06:59 PM","ISO AIR Temp 1",22.364
"9/24/2012","12:06:59 PM","ISO AIR RH 1",26.475
"9/24/2012","12:07:22 PM","ISO AIR RH 2",23.694
"9/24/2012","12:07:22 PM","ISO AIR Temp 2",24.006
"9/24/2012","12:07:22 PM","ISOAIR + 2",2.000
"9/24/2012","12:07:59 PM","ISO AIR Temp 1",22.431
"9/24/2012","12:07:59 PM","ISO AIR RH 1",26.694
"9/24/2012","12:08:22 PM","ISO AIR RH 2",23.581
"9/24/2012","12:08:22 PM","ISO AIR Temp 2",24.082
"9/24/2012","12:08:22 PM","ISOAIR + 2",11.000
"9/24/2012","12:08:59 PM","ISO AIR Temp 1",22.461
"9/24/2012","12:08:59 PM","ISO AIR RH 1",26.469
"9/24/2012","12:09:22 PM","ISO AIR RH 2",23.394
"9/24/2012","12:09:22 PM","ISO AIR Temp 2",24.239
"9/24/2012","12:09:22 PM","ISOAIR + 2",52.000
"9/24/2012","12:09:59 PM","ISO AIR Temp 1",22.450
"9/24/2012","12:09:59 PM","ISO AIR RH 1",26.581
"9/24/2012","12:10:22 PM","ISO AIR RH 2",23.619
"9/24/2012","12:10:22 PM","ISO AIR Temp 2",24.197
"9/24/2012","12:10:22 PM","ISOAIR + 2",5.000
"9/24/2012","12:10:59 PM","ISO AIR Temp 1",22.409
"9/24/2012","12:10:59 PM","ISO AIR RH 1",26.581
"9/24/2012","12:11:22 PM","ISO AIR RH 2",23.544
"9/24/2012","12:11:22 PM","ISO AIR Temp 2",24.152
"9/24/2012","12:11:22 PM","ISOAIR + 2",4.000
"9/24/2012","12:11:59 PM","ISO AIR Temp 1",22.442
"9/24/2012","12:11:59 PM","ISO AIR RH 1",26.731
"9/24/2012","12:12:22 PM","ISO AIR RH 2",23.494
"9/24/2012","12:12:22 PM","ISO AIR Temp 2",24.211
"9/24/2012","12:12:22 PM","ISOAIR + 2",10.000
"9/24/2012","12:12:59 PM","ISO AIR Temp 1",22.334
"9/24/2012","12:12:59 PM","ISO AIR RH 1",26.688
"9/24/2012","12:13:22 PM","ISO AIR RH 2",23.425
"9/24/2012","12:13:22 PM","ISO AIR Temp 2",24.107
"9/24/2012","12:13:22 PM","ISOAIR + 2",3.000
"9/24/2012","12:13:59 PM","ISO AIR Temp 1",22.409
"9/24/2012","12:13:59 PM","ISO AIR RH 1",26.775
"9/24/2012","12:14:21 PM","ISO AIR RH 2",23.587
"9/24/2012","12:14:21 PM","ISO AIR Temp 2",24.214
"9/24/2012","12:14:21 PM","ISOAIR + 2",4.000
"9/24/2012","12:14:59 PM","ISO AIR Temp 1",22.416
"9/24/2012","12:14:59 PM","ISO AIR RH 1",26.650
"9/24/2012","12:15:21 PM","ISO AIR RH 2",23.806
"9/24/2012","12:15:21 PM","ISO AIR Temp 2",24.110
"9/24/2012","12:15:21 PM","ISOAIR + 2",7.000
"9/24/2012","12:15:59 PM","ISO AIR Temp 1",22.454
"9/24/2012","12:15:59 PM","ISO AIR RH 1",26.638
"9/24/2012","12:16:21 PM","ISO AIR RH 2",23.825
"9/24/2012","12:16:21 PM","ISO AIR Temp 2",24.155
"9/24/2012","12:16:21 PM","ISOAIR + 2",4.000
"9/24/2012","12:16:59 PM","ISO AIR Temp 1",22.416
"9/24/2012","12:16:59 PM","ISO AIR RH 1",26.619
"9/24/2012","12:17:21 PM","ISO AIR RH 2",23.462
"9/24/2012","12:17:21 PM","ISO AIR Temp 2",24.197
"9/24/2012","12:17:21 PM","ISOAIR + 2",4.000
"9/24/2012","12:17:59 PM","ISO AIR Temp 1",22.405
"9/24/2012","12:17:59 PM","ISO AIR RH 1",26.650
"9/24/2012","12:18:21 PM","ISO AIR RH 2",23.663
"9/24/2012","12:18:21 PM","ISO AIR Temp 2",24.117
"9/24/2012","12:18:21 PM","ISOAIR + 2",3.000
"9/24/2012","12:18:59 PM","ISO AIR Temp 1",22.469
"9/24/2012","12:18:59 PM","ISO AIR RH 1",26.656
"9/24/2012","12:19:21 PM","ISO AIR RH 2",23.894
"9/24/2012","12:19:21 PM","ISO AIR Temp 2",24.082
"9/24/2012","12:19:21 PM","ISOAIR + 2",4.000
"9/24/2012","12:19:59 PM","ISO AIR Temp 1",22.491
"9/24/2012","12:19:59 PM","ISO AIR RH 1",26.587
"9/24/2012","12:20:21 PM","ISO AIR RH 2",23.900
"9/24/2012","12:20:21 PM","ISO AIR Temp 2",24.141
"9/24/2012","12:20:21 PM","ISOAIR + 2",1.000
"9/24/2012","12:20:59 PM","ISO AIR Temp 1",22.480
"9/24/2012","12:20:59 PM","ISO AIR RH 1",26.531
"9/24/2012","12:21:21 PM","ISO AIR RH 2",23.913
"9/24/2012","12:21:21 PM","ISO AIR Temp 2",24.145
"9/24/2012","12:21:21 PM","ISOAIR + 2",2.000
"9/24/2012","12:21:59 PM","ISO AIR Temp 1",22.503
"9/24/2012","12:21:59 PM","ISO AIR RH 1",26.550
"9/24/2012","12:22:21 PM","ISO AIR RH 2",23.712
"9/24/2012","12:22:21 PM","ISO AIR Temp 2",24.024
"9/24/2012","12:22:21 PM","ISOAIR + 2",3.000
"9/24/2012","12:22:59 PM","ISO AIR Temp 1",22.529
"9/24/2012","12:22:59 PM","ISO AIR RH 1",26.481
"9/24/2012","12:23:21 PM","ISO AIR RH 2",23.781
"9/24/2012","12:23:21 PM","ISO AIR Temp 2",23.982
"9/24/2012","12:23:21 PM","ISOAIR + 2",2.000
"9/24/2012","12:23:59 PM","ISO AIR Temp 1",22.544
"9/24/2012","12:23:59 PM","ISO AIR RH 1",26.631
"9/24/2012","12:24:21 PM","ISO AIR RH 2",23.638
"9/24/2012","12:24:21 PM","ISO AIR Temp 2",24.013
"9/24/2012","12:24:21 PM","ISOAIR + 2",6.000
"9/24/2012","12:24:59 PM","ISO AIR Temp 1",22.364
"9/24/2012","12:24:59 PM","ISO AIR RH 1",26.481
